"Colors","CMC","Name","Rarity","Type","Card Kingdom","TCGPlayer","Face to Face","Cardmarket","Cardhoarder","Salt","Decks","Inclusion","Potential Decks"
"B,G","4","Poison-Tip Archer","uncommon","Creature","0.79","0.49","1.09","0.5","0.03","0.32758620689655155","79637","79637","1730512"
"R","3","The Reaver Cleaver","rare","Artifact","12.99","10.13","12.44","7.37","0.24","0.5564516129032255","187235","187235","4068867"
"W","4","Trouble in Pairs","rare","Enchantment","39.99","20.69","21.96","15.76","7.08","1.3742574257425753","173993","173993","3798857"
"W","2","Puresteel Paladin","rare","Creature","1.79","0.92","1.46","0.92","0.09","0.42735042735042733","173669","173669","3798857"
"","0","Mox Amber","mythic","Artifact","99.99","75.68","80.52","47.63","2.76","1.5","372424","372424","8148845"
"","3","Patchwork Banner","uncommon","Artifact","9.99","5.04","10.24","4.24","0.03","0.5","337508","337508","7394167"
"W","2","Archivist of Oghma","rare","Creature","10.99","8.73","11.71","5.92","5.37","0.38352272727272735","173208","173208","3798857"
"W,U,B,R,G","5","Sanctum of All","rare","Enchantment","4.49","4","3.65","1.24","0.02","0.6875","24605","24605","539948"
"G","2","Return to Nature","common","Instant","0.35","0.2","0.36","0.07","0.02","0.1671469740634006","171419","171419","3772297"
"B","1","Corrupted Conviction","common","Instant","0.99","0.33","1.09","0.29","0.03","0.09510869565217392","188279","188279","4146014"
"G","6","Ancient Greenwarden","mythic","Creature","15.99","12.98","13.9","8.07","0.02","0.6438746438746439","171245","171245","3772297"
"U,B","4","Waterlogged Teachings","uncommon","Instant","1.79","0.94","2.19","0.61","0.03","0.2376237623762376","87348","87348","1926926"
"W","2","Selfless Spirit","rare","Creature","1.29","0.6","1.09","1.02","0.03","0.25770308123249286","171945","171945","3798857"
"W,B","4","Teysa Karlov","rare","Creature","3.49","1.65","2.56","1.08","0.02","0.534031413612566","83816","83816","1853973"
"W","2","Drannith Magistrate","rare","Creature","13.99","12.06","13.9","8","0.54","2.462059620596207","171671","171671","3798857"
"G","4","Greater Good","rare","Enchantment","4.49","4","4.39","3.65","0.02","0.6011396011396013","170175","170175","3772297"
"B,R,G","5","Szarel, Genesis Shepherd","mythic","Creature","0.99","0.42","1.09","0.68","undefined","0.3025210084033615","19885","19885","440915"
"","1","Sensei's Divining Top","rare","Artifact","44.99","38.69","43.92","16.29","1.12","1.4744110479285129","367366","367366","8148845"
"G","2","Incubation Druid","rare","Creature","1.99","0.99","1.82","1.09","0.02","0.208955223880597","169584","169584","3772297"
"R","3","Imperial Recruiter","mythic","Creature","15.99","13.65","11.71","7.89","0.02","0.6558823529411766","182532","182532","4068867"
"U","1","Curiosity","uncommon","Enchantment","0.99","0.66","1.46","0.3","0.03","0.5988538681948429","180373","180373","4028755"
"W","3","Caretaker's Talent","rare","Enchantment","12.99","7.21","13.9","6.95","0.19","0.46060606060606063","153313","153313","3444102"
"","2","Ornithopter of Paradise","common","Creature","0.99","0.45","0.72","0.22","0.03","0.09012875536480684","362651","362651","8148845"
"B,G,U","4","Kheru Goldkeeper","uncommon","Creature","0.35","0.3","0.36","0.19","0.03","0.09900990099009904","27040","27040","608360"
"R,W","4","Iroas, God of Victory","mythic","Creature","14.99","13.39","14.63","10.84","0.02","0.4263959390862944","84366","84366","1898441"
"G,U","2","Hydroid Krasis","mythic","Creature","0.59","0.42","0.72","0.28","0.03","0.2751322751322751","80901","80901","1824186"
"B,G","6","Casualties of War","rare","Sorcery","0.49","0.3","0.36","0.22","0.02","0.39506172839506165","76603","76603","1730512"
"W","4","Clever Concealment","rare","Instant","9.99","8.32","11.71","8.11","5.43","0.6153846153846156","167805","167805","3798857"
"W","2","Open the Armory","uncommon","Sorcery","3.99","2.66","3.29","1.66","0.03","0.3976608187134501","167656","167656","3798857"
"R","4","Bolt Bend","uncommon","Instant","4.99","3.06","4.39","2.99","0.03","0.4210526315789475","179560","179560","4068867"
"U","8","Treasure Cruise","common","Sorcery","0.35","0.25","0.36","0.13","0.03","0.31564986737400536","177636","177636","4028755"
"G","2","Life from the Loam","rare","Sorcery","6.49","3.96","5.12","3.98","1.98","0.605421686746988","166232","166232","3772297"
"W","2","Reprieve","uncommon","Instant","1.99","1.75","1.46","0.62","0.08","0.3451086956521739","167261","167261","3798857"
"G,W","7","Ghalta and Mavren","rare","Creature","2.99","2","2.92","0.84","0.02","0.32620320855614976","76392","76392","1735178"
"G","2","Ozolith, the Shattered Spire","rare","Artifact","15.99","11.27","16.1","5.67","0.02","0.3473053892215571","165386","165386","3772297"
"U","4","Distant Melody","common","Sorcery","0.99","0.4","0.72","0.45","0.03","0.26627218934911245","176465","176465","4028755"
"W","4","Mangara, the Diplomat","rare","Creature","0.99","0.47","1.09","0.66","0.02","0.4495912806539509","166288","166288","3798857"
"W,U","3","Soulherder","uncommon","Creature","2.99","2.26","2.92","1.09","0.03","0.36559139784946243","81402","81402","1860951"
"U","4","Fact or Fiction","uncommon","Instant","0.39","0.25","0.21","0.07","0.03","0.2625994694960212","175718","175718","4028755"
"","3","Mithril Coat","rare","Artifact","34.99","28.45","32.94","15.61","0.02","0.6721504112808466","354970","354970","8148845"
"U","2","Dramatic Reversal","common","Instant","0.79","0.43","0.72","0.53","0.03","0.7835671342685371","175494","175494","4028755"
"G","2","Cankerbloom","uncommon","Creature","0.99","0.29","1.46","0.22","0.03","0.3271604938271604","164317","164317","3772297"
"B,R","4","Chainer, Nightmare Adept","rare","Creature","1.49","0.76","1.46","0.4","0.02","0.27567567567567575","82794","82794","1902006"
"","0","Mox Opal","mythic","Artifact","249.99","199.99","237.93","124.88","13.16","1.182222222222222","354580","354580","8148845"
"U","5","Reflections of Littjara","rare","Enchantment","1.99","1.09","1.82","0.99","0.02","0.46666666666666695","175184","175184","4028755"
"U","8","Dig Through Time","rare","Instant","0.49","0.3","0.55","0.24","0.03","0.25581395348837227","175053","175053","4028755"
"B","1","Carrion Feeder","uncommon","Creature","4.99","3.57","3.65","2.41","0.04","0.3172804532577904","180064","180064","4146014"
"W","5","Sphere of Safety","uncommon","Enchantment","4.99","2.58","3.65","2.25","0.03","1.1666666666666665","164710","164710","3798857"
"G","2","Aftermath Analyst","uncommon","Creature","1.99","1.16","2.19","1.19","0.22","0.43896103896103905","163385","163385","3772297"
"","2","Sword of the Animist","rare","Artifact","9.49","6.27","9.51","5.06","0.02","0.365767878077374","352728","352728","8148845"
"B","3","Plaguecrafter","uncommon","Creature","0.79","0.41","0.72","0.26","0.03","0.5014492753623189","179398","179398","4146014"
"G","2","Innkeeper's Talent","rare","Enchantment","16.99","10.64","16.83","9.99","0.17","0.5474006116207952","148003","148003","3427938"
"U,R","4","Twinflame Travelers","uncommon","Creature","0.35","0.29","0.36","0.18","0.02","0","14517","14517","337201"
"U","3","Hydroelectric Specimen","uncommon","Creature","2.29","1.25","2.56","1.31","0.03","0.26315789473684215","163590","163590","3801460"
"G","3","Spelunking","uncommon","Enchantment","6.49","4.71","7.31","3.08","0.03","0.3846153846153845","162257","162257","3772297"
"W,B","2","Bartolomé del Presidio","uncommon","Creature","0.35","0.24","0.36","0.14","0.03","0.17727272727272742","79690","79690","1853973"
"U","2","Muddle the Mixture","uncommon","Instant","2.49","2.04","2.56","0.94","0.03","0.441340782122905","173136","173136","4028755"
"R","3","Dualcaster Mage","rare","Creature","4.99","4.89","4.39","2.72","0.07","0.7010869565217385","174401","174401","4068867"
"W","4","The Wind Crystal","rare","Artifact","6.99","4.99","6.58","3.52","0.02","0.3505154639175257","92421","92421","2156628"
"R","3","Rising of the Day","uncommon","Enchantment","0.99","0.55","1.09","0.26","0.03","0.14887640449438205","174175","174175","4068867"
"B,G","4","Rise of the Witch-king","uncommon","Sorcery","1.29","0.43","2.56","0.21","0.04","0.36764705882352927","74045","74045","1730512"
"","0","Mox Diamond","rare","Artifact","1499.99","1037.09","1317.78","659.33","16.79","1.4743875278396432","348567","348567","8148845"
"U","6","Consecrated Sphinx","mythic","Creature","37.99","31.08","32.94","25.29","0.02","1.7992565055762082","172226","172226","4028755"
"R,W,B","4","Queen Marchesa","rare","Creature","1.79","0.93","1.46","0.58","1.04","0.3655913978494624","39632","39632","927141"
"B","1","Changeling Outcast","common","Creature","1.79","1.33","1.46","0.67","0.03","0.23872679045092837","176915","176915","4146014"
"","0","Everflowing Chalice","uncommon","Artifact","0.59","0.3","0.55","0.21","0.01","0.1","346928","346928","8148845"
"G","4","Goreclaw, Terror of Qal Sisma","uncommon","Creature","1.49","0.75","1.46","0.43","0.02","0.27863777089783276","160302","160302","3772297"
"R","4","The Fire Crystal","rare","Artifact","6.99","4.98","6.58","3.5","0.02","0.3103448275862066","98031","98031","2308710"
"B","3","Saw in Half","rare","Instant","5.49","3.96","5.12","3.98","0.41","0.5857142857142854","175974","175974","4146014"
"U","3","Emry, Lurker of the Loch","rare","Creature","0.79","0.49","1.09","0.66","1.04","0.47181008902077154","170977","170977","4028755"
"G","3","Eldritch Evolution","rare","Sorcery","4.49","2.23","4.39","1.76","0.26","0.6546546546546546","159906","159906","3772297"
"G","2","Springheart Nantuko","rare","Creature","7.99","5.51","8.78","3.65","0.02","0.6640419947506563","150785","150785","3562615"
"W,U","3","Aang, Swift Savior","rare","Creature","4.99","3.17","5.85","4.27","0.14","0","24659","24659","583827"
"R","2","Fire Diamond","common","Artifact","0.79","0.25","0.72","0.15","0.04","0.2222222222222222","171729","171729","4068867"
"G","3","Mossborn Hydra","rare","Creature","19.99","16.79","19.03","10.15","0.03","0.7532467532467533","128885","128885","3061722"
"R,G","5","Bumi, Unleashed","mythic","Creature","7.49","6.15","6.58","4.24","0.03","0","24333","24333","578150"
"G,U","2","Kinnan, Bonder Prodigy","mythic","Creature","18.99","12.93","19.76","9.46","0.02","2.1463087248322186","76759","76759","1824186"
"B","1","Culling the Weak","common","Instant","16.99","13.75","16.83","8.03","0.69","0.5100864553314122","174207","174207","4146014"
"B","2","Bitterblossom","mythic","Enchantment","39.99","32.04","36.6","18.78","0.02","0.46537396121883656","173273","173273","4146014"
"B","2","Charcoal Diamond","common","Artifact","0.59","0.25","0.55","0.16","0.04","0","173198","173198","4146014"
"R","6","Warstorm Surge","rare","Enchantment","1.49","0.77","1.46","0.47","0.02","0.45054945054945056","169878","169878","4068867"
"R","6","Ancient Copper Dragon","mythic","Creature","109.99","95.7","102.49","64.39","4.08","1.272363150867825","169763","169763","4068867"
"W","4","Avatar's Wrath","rare","Sorcery","5.99","5.64","4.39","4.06","0.02","0","49121","49121","1178059"
"U,R,W","3","Kilo, Apogee Mind","mythic","Creature","0.99","0.65","1.09","0.76","undefined","0.39215686274509803","20450","20450","491134"
"U","1","Wizard Class","uncommon","Enchantment","1.99","1.17","2.19","1.65","0.03","0.1601123595505619","167668","167668","4028755"
"B","5","Black Market","rare","Enchantment","6.99","4.17","6.58","2.63","3.74","0.47187499999999993","172375","172375","4146014"
"R","3","Shared Animosity","rare","Enchantment","2.29","1.69","2.19","1.8","0.02","0.4075235109717869","169153","169153","4068867"
"G","3","Bridgeworks Battle","uncommon","Sorcery","1.99","1","2.19","0.93","0.03","0.0851063829787234","148546","148546","3575180"
"G,U,R","7","Genesis Ultimatum","rare","Sorcery","0.99","0.88","1.09","0.84","0.02","0.30833333333333324","37024","37024","891889"
"G,U","4","Fathom Mage","rare","Creature","0.69","0.31","0.55","0.28","0.02","0.26486486486486477","75486","75486","1824186"
"","3","Foundry Inspector","common","Creature","0.79","0.39","0.72","0.21","0.03","0.27083333333333354","336980","336980","8148845"
"U,B","4","Talion, the Kindly Lord","mythic","Creature","14.99","13.73","15.37","9.81","0.03","0.720238095238095","84074","84074","2034408"
"R,W,B","4","Bone-Cairn Butcher","uncommon","Creature","0.79","0.28","0.72","0.15","0.03","0.21111111111111114","25840","25840","626024"
"R","4","Purphoros, God of the Forge","mythic","Creature","32.99","24.2","32.94","20.75","0.02","1.151447661469935","167343","167343","4068867"
"B","2","Torment of Hailfire","rare","Sorcery","32.99","25.99","25.62","17.93","0.02","1.6245059288537547","170270","170270","4146014"
"U","7","Sea Gate Restoration","mythic","Sorcery","44.99","33.5","40.26","28.75","9.07","0.6272727272727275","165130","165130","4028755"
"B","2","The Soul Stone","mythic","Artifact","79.99","63.58","65.88","44.91","3.31","1.5760869565217395","77089","77089","1891899"
"G","1","Rancor","uncommon","Enchantment","1.99","1","1.82","0.89","0.03","0.25988700564971745","153650","153650","3772297"
"G,U,R","3","Animar, Soul of Elements","mythic","Creature","47.99","45.49","43.92","30.38","0.07","1.0454545454545454","36320","36320","891889"
"U,B","5","Consuming Aberration","rare","Creature","0.49","0.3","0.36","0.09","0.02","0.5757575757575757","82747","82747","2034408"
"G","2","Nature's Rhythm","rare","Sorcery","10.99","2.45","9.51","3.85","0.28","0.4353312302839117","98761","98761","2433431"
"B,G,U","5","Yarok, the Desecrated","mythic","Creature","0.99","0.45","1.09","0.46","0.02","0.7236842105263158","37227","37227","917804"
"W","4","Flare of Fortitude","rare","Instant","6.49","4.45","6.58","3.87","0.02","0.7119113573407199","146059","146059","3607257"
"W","2","Flowering of the White Tree","rare","Enchantment","10.99","7.67","11.71","4.6","0.02","0.4214876033057853","153709","153709","3798857"
"U","2","Borne Upon a Wind","rare","Instant","6.49","6.08","7.31","2.46","0.02","0.45508982035928136","162959","162959","4028755"
"","1","Basilisk Collar","rare","Artifact","5.49","4","5.12","1.5","0.02","0.4420368364030335","329372","329372","8148845"
"W","6","Elspeth, Sun's Champion","mythic","Planeswalker","1.49","0.94","1.09","1.08","0.02","0.3677248677248675","153492","153492","3798857"
"W,B","4","Drana and Linvala","rare","Creature","6.49","5.6","6.58","1.78","0.02","0.9847094801223243","74850","74850","1853973"
"","4","Panharmonicon","rare","Artifact","7.49","7.22","7.31","3.99","0.02","0.822759315206445","328835","328835","8148845"
"G,W,U","4","Yuna, Grand Summoner","mythic","Creature","0.99","1.1","1.09","1.51","1.61","0.3928571428571429","22444","22444","556656"
"R","2","Reckless Fireweaver","common","Creature","1.29","0.5","1.09","0.54","0.03","0.35942028985507246","164000","164000","4068867"
"B,G","3","Dread Tiller","rare","Creature","0.49","0.3","0.36","0.37","0.46","0","14073","14073","349283"
"B,G","4","Atomize","rare","Instant","16.99","14.9","16.83","14.52","4.25","0.26903553299492433","69680","69680","1730512"
"W","3","Ranger-Captain of Eos","mythic","Creature","27.99","23.69","25.62","20.42","3.77","0.8977900552486188","152863","152863","3798857"
"G,W","3","Strength of the Harvest","uncommon","Enchantment","0.79","0.38","0.72","0.3","0.03","0.29","66241","66241","1646649"
"B","7","Sheoldred, Whispering One","mythic","Creature","19.99","16.99","20.49","16.02","0.02","1.5150684931506844","166561","166561","4146014"
"U,R","3","Flame of Anor","rare","Instant","4.99","3.47","5.12","4.37","0.26","0.1717171717171718","76691","76691","1909177"
"U,R,W","3","Inspirit, Flagship Vessel","mythic","Artifact","0.99","0.47","1.09","0.52","undefined","0.4411764705882353","18752","18752","467408"
"U,R","6","The Locust God","mythic","Creature","12.99","9.86","10.24","4.49","0.02","0.8128654970760235","76591","76591","1909177"
"G,W,U","3","Derevi, Empyrial Tactician","mythic","Creature","7.99","7.69","7.31","2.42","6.72","1.4210526315789471","37409","37409","932626"
"U","4","Leyline of Anticipation","rare","Enchantment","11.99","10.61","11.71","2.33","0.02","0.5638888888888891","161344","161344","4028755"
"R,W","5","Aurelia, the Law Above","rare","Creature","2.99","1.43","3.29","0.57","0.02","0.225130890052356","75944","75944","1898441"
"W","3","Idyllic Tutor","rare","Sorcery","13.99","9.26","11.71","5.33","0.02","0.6250000000000004","151849","151849","3798857"
"G,U","3","Cold-Eyed Selkie","rare","Creature","0.59","0.33","0.36","0.2","0.02","0.3195876288659792","72830","72830","1824186"
"","3","Academy Manufactor","rare","Creature","7.49","5.93","6.58","3.61","0.02","0.942","324952","324952","8148845"
"B","3","Grim Tutor","mythic","Sorcery","32.99","25","24.88","15.11","0.28","0.9079999999999999","165320","165320","4146014"
"G,U","3","Oko, Thief of Crowns","mythic","Planeswalker","6.49","4.73","5.85","4.58","1.07","1.709470304975923","72712","72712","1824186"
"G","3","Springbloom Druid","common","Creature","0.39","0.25","0.36","0.15","0.03","0.20289855072463772","150257","150257","3772297"
"G","1","Fog","common","Instant","0.35","0.26","0.11","0.02","0.03","0.47471910112359567","150238","150238","3772297"
"W","3","Enduring Innocence","rare","Creature","7.99","5.41","7.31","4.45","0.06","0.2850877192982456","131311","131311","3300121"
"U,R,W","4","Sokka, Tenacious Tactician","rare","Creature","0.49","0.65","0.55","0.38","0.02","0","11994","11994","302154"
"W","3","Mesa Enchantress","rare","Creature","0.79","0.41","0.72","0.27","0.02","0.3443526170798896","150706","150706","3798857"
"B","1","Stitcher's Supplier","uncommon","Creature","0.99","0.3","0.72","0.39","0.2","0.133903133903134","164433","164433","4146014"
"W","7","Elesh Norn, Grand Cenobite","mythic","Creature","21.99","14.98","21.96","14.72","0.06","1.7442799461641991","150359","150359","3798857"
"W,U,B,R,G","4","Leyline of Mutation","rare","Enchantment","0.49","0.4","0.36","0.16","0.02","0.3571428571428572","18525","18525","468284"
"R","4","Chain Reaction","rare","Sorcery","0.49","0.26","0.36","0.18","0.02","0.2651933701657458","160712","160712","4068867"
"R,G","5","Quartzwood Crasher","rare","Creature","1.79","0.54","1.46","0.66","0.02","0.22023809523809523","70531","70531","1788871"
"R,G,W","8","Gishath, Sun's Avatar","mythic","Creature","9.49","8.13","9.51","3.47","0.02","0.9307228915662651","37932","37932","962220"
"R","2","Harmonic Prodigy","rare","Creature","13.99","10.82","13.9","8.27","0.02","0.5705329153605015","160203","160203","4068867"
"W,B,G","3","Abzan Charm","uncommon","Instant","0.35","0.25","0.36","0.08","0.04","0.15384615384615385","32688","32688","830445"
"B,G","4","Deathreap Ritual","uncommon","Enchantment","0.69","0.3","0.55","0.17","0.02","0.24210526315789452","68078","68078","1730512"
"R,G,W","4","Tifa, Martial Artist","mythic","Creature","0.99","1.13","1.09","1.28","1.66","0.5603448275862069","22655","22655","576455"
"R","3","Aggravated Assault","rare","Enchantment","23.99","23.54","21.96","11.23","0.03","1.0019157088122606","159854","159854","4068867"
"W","3","Boromir, Warden of the Tower","rare","Creature","5.99","4.03","5.85","3.55","0.02","0.6042780748663108","148979","148979","3798857"
"G,W","6","Dragonlord Dromoka","mythic","Creature","1.99","1.21","15.37","1.68","0.03","0.6532663316582911","68044","68044","1735178"
"B","3","Boggart Trawler","uncommon","Creature","2.79","1.49","2.56","1.83","0.45","0.2659574468085107","153425","153425","3915914"
"B,G","4","Meren of Clan Nel Toth","mythic","Creature","1.49","0.64","1.46","0.7","1.9","0.7395209580838322","67792","67792","1730512"
"G","3","Rishkar, Peema Renegade","uncommon","Creature","0.69","0.29","0.72","0.2","0.02","0.22507122507122504","147769","147769","3772297"
"W","6","Ojer Taq, Deepest Foundation","mythic","Creature","39.99","29.04","40.26","20.56","0.06","0.9784688995215306","148698","148698","3798857"
"G","3","Peregrin Took","uncommon","Creature","0.99","0.33","0.72","0.16","0.03","0.43947368421052624","147558","147558","3772297"
"B,R,G","3","Riveteers Ascendancy","rare","Enchantment","1.79","0.64","1.46","0.26","0.02","0.27586206896551724","31433","31433","804010"
"G,W,U,B","7","Atraxa, Grand Unifier","mythic","Creature","20.99","14.31","23.42","15.73","9.6","1.5545286506469504","23845","23845","610473"
"U","1","Aqueous Form","common","Enchantment","0.99","0.45","0.72","0.38","0.03","0.2535612535612536","157340","157340","4028755"
"G","4","Eidolon of Blossoms","rare","Creature","4.99","3.03","3.65","1.95","0.02","0.3920972644376897","147231","147231","3772297"
"R","2","Loyal Apprentice","uncommon","Creature","0.59","0.25","0.55","0.24","0.15","0.10294117647058823","158021","158021","4068867"
"G","1","Haywire Mite","uncommon","Creature","0.79","0.6","0.72","1.12","0.04","0.2960725075528703","146475","146475","3772297"
"U,B,R","4","Kess, Dissident Mage","mythic","Creature","5.99","5.25","4.39","1.91","0.02","0.554621848739496","37752","37752","972915"
"","3","Decanter of Endless Water","common","Artifact","5.99","2.38","5.85","2.03","0.04","0.29411764705882354","315739","315739","8148845"
"B,R","3","Alesha, Who Laughs at Fate","rare","Creature","3.49","2.81","2.56","1.1","0.02","0.3015873015873016","59963","59963","1548003"
"U","2","Sky Diamond","common","Artifact","0.69","0.25","0.55","0.14","0.04","0","155971","155971","4028755"
"R","1","Rite of Flame","common","Sorcery","5.99","5.79","6.58","2.8","1.12","0.311797752808989","157001","157001","4068867"
"U","3","Chasm Skulker","rare","Creature","0.59","0.39","0.72","0.35","0.02","0.22560975609756098","155444","155444","4028755"
"G","3","Loot, Exuberant Explorer","rare","Creature","6.49","3.97","5.85","2.06","0.02","0.5909090909090906","117408","117408","3043825"
"G","3","Elvish Spirit Guide","uncommon","Creature","2.99","1.99","2.19","1.1","2.68","0.4363636363636363","145399","145399","3772297"
"R,G","4","Mina and Denn, Wildborn","rare","Creature","2.29","1.34","2.56","0.83","0.02","0.263157894736842","68945","68945","1788871"
"W","1","Restoration Magic","uncommon","Instant","1.99","1.57","2.19","0.88","0.03","0.29017857142857156","81785","81785","2122557"
"W","3","Danitha Capashen, Paragon","uncommon","Creature","0.59","0.35","0.72","0.21","0.03","0.17597765363128498","146119","146119","3798857"
"B","7","Kindred Dominance","rare","Sorcery","16.99","16.7","14.63","9.68","0.28","0.6412429378531075","159191","159191","4146014"
"W","8","Avacyn, Angel of Hope","mythic","Creature","39.99","27.37","36.6","9.96","0.03","1.3454790823211884","145654","145654","3798857"
"B,G","5","Mazirek, Kraul Death Priest","rare","Creature","0.99","0.44","0.72","0.76","0.62","0.35937500000000017","66280","66280","1730512"
"G","1","Tyvar's Stand","uncommon","Instant","2.99","1.25","2.92","1.53","0.03","0.2648648648648648","144450","144450","3772297"
"G","1","Sylvan Safekeeper","rare","Creature","11.99","8.54","13.17","7.45","0.11","0.6267806267806271","144290","144290","3772297"
"G","2","Cryptolith Rite","rare","Enchantment","5.99","4.27","5.85","2.56","0.02","0.36023054755043227","144188","144188","3772297"
"G","2","Priest of Titania","uncommon","Creature","1.49","1.03","1.82","0.69","0.03","0.6186186186186183","144100","144100","3772297"
"R","1","Curse of Opulence","uncommon","Enchantment","2.29","1.09","2.19","1.01","3.55","0.5481049562682211","155079","155079","4068867"
"G","1","Gilded Goose","rare","Creature","0.79","0.49","0.72","0.83","0.06","0.1726190476190476","143641","143641","3772297"
"G","3","Cycle of Renewal","common","Instant","0.35","0.27","0.36","0.16","0.03","0","45143","45143","1188540"
"G","4","Tempt with Discovery","rare","Sorcery","2.79","1.45","2.56","1.4","7.05","0.6195965417867435","142985","142985","3772297"
"U,B","6","Singularity Rupture","rare","Sorcery","0.79","0.55","0.55","0.4","0.02","0.8297872340425534","38159","38159","1007021"
"U,B","4","Hostage Taker","rare","Creature","0.49","0.28","0.36","0.16","0.02","0.6063829787234043","77057","77057","2034408"
"G,W","3","Satyr Enchanter","uncommon","Creature","1.49","0.8","1.46","0.75","0.03","0.28415300546448097","65702","65702","1735178"
"G","4","Bear Umbra","rare","Enchantment","11.99","9.19","10.24","5.97","0.02","0.6104651162790697","142758","142758","3772297"
"G","2","Origin of Metalbending","common","Instant","0.35","0.26","0.36","0.15","0.03","0","44513","44513","1176572"
"G","3","Kodama of the West Tree","mythic","Creature","24.99","19.99","25.62","12.52","0.02","0.6686930091185412","142680","142680","3772297"
"B","2","Imp's Mischief","rare","Instant","6.99","4.98","5.85","3.04","0.02","0.4378881987577638","156740","156740","4146014"
"R","2","Grapeshot","common","Sorcery","0.59","0.34","0.55","0.16","0.03","0.5406162464985996","153249","153249","4068867"
"B,G","3","Grist, the Hunger Tide","mythic","Planeswalker","0.99","0.45","1.09","0.56","0.49","0.38219895287958117","65175","65175","1730512"
"U","4","Talrand, Sky Summoner","rare","Creature","0.59","0.44","0.55","0.2","0.02","0.3785310734463275","151623","151623","4028755"
"W,U,B,R,G","5","Jodah, the Unifier","mythic","Creature","2.79","2","2.56","1.43","0.02","1.9393346379647758","20309","20309","539948"
"B","1","Gravecrawler","rare","Creature","0.99","0.87","1.46","0.88","0.06","0.5955056179775279","155817","155817","4146014"
"G","5","Ashaya, Soul of the Wild","mythic","Creature","20.99","18.33","21.22","14.46","0.02","0.633608815426997","141747","141747","3772297"
"U","3","Imprisoned in the Moon","common","Enchantment","0.59","0.27","0.55","0.13","0.02","0.859047619047619","151307","151307","4028755"
"G","2","Collective Resistance","uncommon","Instant","2.99","1.48","3.65","2.21","0.03","0.23564954682779488","134239","134239","3577592"
"U","1","Mockingbird","rare","Creature","7.99","4.19","8.05","3.87","0.56","0.362857142857143","136724","136724","3657586"
"W","1","Cloudshift","common","Instant","1.49","0.9","1.46","1.21","0.03","0.21179624664879357","141689","141689","3798857"
"B","1","Bloodchief Ascension","rare","Enchantment","18.99","18.62","15.37","11.11","0.02","1.1356275303643732","154234","154234","4146014"
"W","2","Spirited Companion","common","Creature","0.69","0.27","0.72","0.18","0.03","0.11527377521613832","141236","141236","3798857"
"B","4","Whip of Erebos","rare","Artifact","9.49","6.02","8.78","5.81","0.02","0.4398826979472139","153570","153570","4146014"
"G","2","Destiny Spinner","uncommon","Creature","2.29","1.34","2.56","0.82","0.03","0.29375000000000023","139629","139629","3772297"
"R","2","Young Pyromancer","uncommon","Creature","0.39","0.25","0.36","0.16","0.03","0.19618528610354224","150498","150498","4068867"
"R","5","Twinflame Tyrant","mythic","Creature","42.99","29.96","32.94","19.7","0.02","0.7864077669902911","122674","122674","3316689"
"R,G","4","Halana and Alena, Partners","rare","Creature","1.49","0.75","1.46","0.77","0.02","0.2901554404145079","66159","66159","1788871"
"B,G","7","Beledros Witherbloom","mythic","Creature","2.79","1.35","2.56","2.31","0.03","0.49382716049382713","63987","63987","1730512"
"U","1","Into the Flood Maw","uncommon","Instant","4.49","2.56","5.12","2.25","9.04","0.30028328611898025","135444","135444","3664625"
"U","3","Valley Floodcaller","rare","Creature","9.49","5.6","9.51","4.82","0.02","0.37719298245614036","135519","135519","3666734"
"G","2","Gyre Sage","rare","Creature","1.49","0.84","1.46","1.22","0.02","0.27966101694915263","139366","139366","3772297"
"","2","Jet Medallion","rare","Artifact","15.99","11.18","15.37","8.22","0.02","0.22330097087378642","300460","300460","8148845"
"G","3","Jaheira, Friend of the Forest","rare","Creature","6.99","3.54","6.58","4.94","15.77","0.4117647058823528","139055","139055","3772297"
"R","5","Brash Taunter","rare","Creature","1.99","1.64","1.82","0.74","0.02","0.48955223880597","149924","149924","4068867"
"R","3","Sundering Eruption","uncommon","Sorcery","2.29","1.28","2.19","1.62","0.03","0.3333333333333333","142152","142152","3858125"
"G","4","Splendid Reclamation","rare","Sorcery","0.99","0.64","1.09","0.79","0.02","0.6134969325153377","138731","138731","3772297"
"W,U,B,R,G","5","Maelstrom Archangel","mythic","Creature","0.99","0.73","1.46","0.51","0.02","0.42105263157894735","19840","19840","539948"
"W","1","Soul's Attendant","common","Creature","7.99","5.71","8.05","4.67","0.03","0.4005602240896359","139289","139289","3798857"
"G,U","3","Mutational Advantage","rare","Instant","8.49","5.07","5.12","7.33","1.87","0.4476744186046512","66850","66850","1824186"
"B,G","2","Winding Constrictor","uncommon","Creature","0.59","0.36","0.55","0.22","0.03","0.18181818181818193","63404","63404","1730512"
"B,R","2","Stormfist Crusader","rare","Creature","0.79","0.66","0.72","0.42","0.02","0.17222222222222225","69675","69675","1902006"
"U","7","Thought Monitor","rare","Creature","0.79","0.48","0.72","0.69","0.03","0.22535211267605637","147511","147511","4028755"
"G","2","Springleaf Parade","rare","Enchantment","10.99","10.11","10.24","5.98","1.83","0","25794","25794","705360"
"B","6","Liliana, Dreadhorde General","mythic","Planeswalker","12.99","8.56","13.17","6.15","0.02","0.715811965811966","151275","151275","4146014"
